[2022-08-14T10:37:23.417] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:23.433] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:28.401] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:28.426] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:28.464] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:28.489] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:33.520] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:33.537] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:54.688] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:54.700] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:54.736] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:57.118] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:57.133] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:37:57.765] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:37:57.780] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:01.826] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:01.845] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:04.841] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:04.853] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:06.896] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:06.930] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:11.920] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:11.941] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:11.956] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:11.975] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:16.989] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:17.011] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:18.994] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:19.007] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:22.043] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:22.057] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:26.067] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:26.080] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:27.088] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:27.102] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:32.136] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:32.147] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:33.126] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:33.141] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:37.205] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:37.216] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:40.190] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:40.204] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:42.254] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:42.268] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:47.270] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:47.285] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:47.322] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:47.333] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:52.362] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:52.372] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:38:54.333] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:38:54.352] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:05.294] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:05.307] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:05.337] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:05.346] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:11.436] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:11.474] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:12.832] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:12.840] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:17.579] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:17.593] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:17.897] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:17.911] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:22.949] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:22.972] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:24.651] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:24.665] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:28.012] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:28.028] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:31.711] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:31.725] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:33.050] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:33.063] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:38.112] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:38.126] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:38.778] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:38.792] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:43.166] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:43.183] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:45.856] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:45.867] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:48.206] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:48.218] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:52.920] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:52.937] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:53.250] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:53.262] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:58.297] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:58.308] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:39:59.981] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:39:59.992] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:03.353] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:03.385] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:07.048] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:07.061] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:08.400] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:08.415] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:17.745] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:17.780] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:19.619] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:19.632] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:21.187] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:21.193] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
[2022-08-14T10:40:24.673] [WARN] warnArchive - Estado: 404, Ruta consultada: /json/version, Metodo GET
[2022-08-14T10:40:24.687] [WARN] warnArchive - Estado: 404, Ruta consultada: /json, Metodo GET
